TrialNumber,Ppn,DoorClicked,Won,TotalAmount,PAscore,NAscore,Time_msec
58,160,2,0.69,10.73,0.723543191800878,0.417071742313324,1011911
59,160,1,3.17,13.9,0.613733528550512,0.277979502196194,1018163
60,160,1,-0.31,13.59,0.357510980966325,0.468316251830161,1024273
61,160,0,3.7,17.29,0.782108345534407,0.241376281112738,1030912
62,160,2,0.66,17.95,0.847994143484627,0.197452415812592,1036918
63,160,2,1.02,18.97,0.80407027818448,0.190131771595901,1043096
64,160,2,-3.22,15.75,0.416076134699854,0.402430453879942,1050811
65,160,3,-3.01,12.74,0.196456808199122,0.592767203513909,1057804
66,160,1,-3.92,8.82,0.0793265007320644,0.687935578330893,1067128
67,160,0,-0.74,8.08,0.108609077598829,0.80506588579795,1073715
68,160,2,-3.77,4.31,0.0280819912152269,0.973440702781845,1080588
69,160,1,1.37,5.68,0.276983894582723,0.966120058565154,1086230
70,160,3,-3.13,2.55,0.0280819912152269,0.973440702781845,1092503
71,160,3,-0.5,2.05,0.035402635431918,0.980761346998536,1100423
72,160,0,-3.62,-1.57,0.0427232796486091,0.988081991215227,1106280
73,160,1,-1.23,-2.8,0.0280819912152269,0.973440702781845,1113070
74,160,2,3.61,0.810000000000002,0.350190336749634,0.958799414348463,1119332
75,160,3,-3.93,-3.12,0.0500439238653001,0.995402635431918,1125441
76,160,2,1.25,-1.87,0.401434846266471,0.980761346998536,1131893
77,160,1,-1.08,-2.95,0.0207613469985359,0.980761346998536,1138208
78,160,0,3.77,0.820000000000002,0.328228404099561,0.966120058565154,1144398
79,160,0,0.5,1.32,0.423396778916545,0.980761346998536,1150417
80,160,1,1.17,2.49,0.621054172767203,0.973440702781845,1156177
81,160,2,-0.76,1.73,0.313587115666179,0.966120058565154,1162326
82,160,1,1.15,2.88,0.66497803806735,0.973440702781845,1169948
83,160,2,-0.79,2.09,0.313587115666179,0.988081991215227,1176090
84,160,3,3.28,5.37,0.884597364568082,0.980761346998536,1182096
85,160,3,1.33,6.7,0.891918008784773,0.951478770131772,1187338
86,160,3,-0.55,6.15,0.284304538799414,0.980761346998536,1194087
87,160,2,-3.91,2.24,0.035402635431918,0.966120058565154,1200044
88,160,1,0.72,2.96,0.540527086383602,0.980761346998536,1216370
89,160,2,3.58,6.54,0.672298682284041,0.775783308931186,1222461
90,160,2,3.11,9.65,0.723543191800878,0.607408491947292,1228118
91,160,2,-3.04,6.61,0.408755490483163,0.885592972181552,1233813
92,160,3,1.38,7.99,0.496603221083455,0.87095168374817,1240003
93,160,0,-1.24,6.75,0.298945827232797,0.922196193265008,1246372
94,160,1,3.93,10.68,0.745505124450952,0.585446559297218,1253030
95,160,1,1.23,11.91,0.811390922401171,0.482957540263543,1260040
96,160,3,3.11,15.02,0.738184480234261,0.468316251830161,1269173
97,160,3,0.89,15.91,0.826032210834553,0.380468521229868,1276772
98,160,2,-0.67,15.24,0.518565153733529,0.585446559297218,1284066
99,160,1,-3.88,11.36,0.262342606149341,0.775783308931186,1290341
100,160,0,-0.62,10.74,0.218418740849195,0.892913616398243,1296611
101,160,3,0.55,11.29,0.430717423133236,0.695256222547584,1304402
102,160,2,0.83,12.12,0.643016105417277,0.607408491947292,1310560
103,160,1,3.9,16.02,0.752825768667643,0.395109809663251,1318132
104,160,2,-3.97,12.05,0.401434846266471,0.768462664714495,1331908
105,160,2,-1.31,10.74,0.306266471449488,0.892913616398243,1340593
106,160,3,3.36,14.1,0.701581259150805,0.504919472913617,1347032
107,160,3,-0.94,13.16,0.306266471449488,0.878272327964861,1352887
108,160,0,-1.04,12.12,0.108609077598829,0.885592972181552,1358989
109,160,1,-1.02,11.1,0.108609077598829,0.885592972181552,1366816
110,160,2,-0.58,10.52,0.0207613469985359,0.980761346998536,1372601
111,160,2,0.55,11.07,0.291625183016105,0.797745241581259,1378775
112,160,3,-0.77,10.3,0.108609077598829,0.914875549048317,1385908
113,160,2,-0.71,9.59,0.0500439238653001,0.973440702781845,1396640
114,160,1,-3.92,5.67,0.035402635431918,0.988081991215227,1403090
115,160,0,-3.38,2.29,0.0280819912152269,0.973440702781845,1410057
116,160,1,-1.47,0.82,0.0646852122986823,0.966120058565154,1417548
117,160,2,3.44,4.26,0.211098096632504,0.87095168374817,1424481
118,160,2,-2.67,1.59,0.0134407027818448,0.958799414348463,1430659
119,160,3,-3.59,-2,0.0134407027818448,0.988081991215227,1436586
120,160,1,-1.41,-3.41,0.0134407027818448,0.966120058565154,1443765
121,160,2,-3.18,-6.59,0.035402635431918,0.988081991215227,1449771
122,160,0,-1.42,-8.01,0.035402635431918,0.958799414348463,1457022
123,160,1,3.04,-4.97,0.218418740849195,0.900234260614934,1465839
124,160,2,-3.2,-8.17,0.0207613469985359,0.980761346998536,1474080
125,160,1,-0.91,-9.08,0.0207613469985359,0.966120058565154,1481792
126,160,3,-0.71,-9.79,0.0207613469985359,0.988081991215227,1490497
127,160,0,-1.17,-10.96,0.0280819912152269,0.988081991215227,1497835
128,160,1,0.54,-10.42,0.123250366032211,0.958799414348463,1503937
129,160,2,1.3,-9.12,0.203777452415813,0.973440702781845,1510186
130,160,2,-0.77,-9.89,0.0207613469985359,0.973440702781845,1516924
131,160,2,-1.39,-11.28,0.0280819912152269,0.988081991215227,1522739
132,160,1,-0.65,-11.93,0.0134407027818448,0.973440702781845,1529021
133,160,3,3.64,-8.29,0.211098096632504,0.966120058565154,1536844
134,160,3,0.52,-7.77,0.298945827232797,0.951478770131772,1543618
135,160,3,0.98,-6.79,0.423396778916545,0.973440702781845,1550092
136,160,3,-3.19,-9.98,0.0427232796486091,0.973440702781845,1556347
137,160,3,-1.5,-11.48,0.0207613469985359,0.980761346998536,1562727
138,160,0,3.32,-8.16,0.130571010248902,0.980761346998536,1568499
139,160,0,-3.77,-11.93,0.0280819912152269,0.973440702781845,1574442
140,160,1,3.29,-8.64,0.225739385065886,0.966120058565154,1580710
141,160,2,3.16,-5.48,0.218418740849195,0.966120058565154,1588661
142,160,2,3.46,-2.02,0.306266471449488,0.980761346998536,1603065
143,160,2,2.01,-0.00999999999999712,0.518565153733529,0.93683748169839,1611059
144,160,3,3.19,3.18,0.613733528550512,0.973440702781845,1620243
145,160,2,-3.27,-0.0899999999999972,0.0280819912152269,0.980761346998536,1626581
146,160,3,1.43,1.34,0.108609077598829,0.980761346998536,1637081
147,160,0,0.52,1.86,0.218418740849195,0.973440702781845,1644623
148,160,3,3.47,5.33,0.298945827232797,0.951478770131772,1650926
149,160,2,3.39,8.72,0.430717423133236,0.885592972181552,1657130
150,160,3,0.62,9.34,0.496603221083455,0.87095168374817,1664720
151,160,3,-2.81,6.53,0.035402635431918,0.980761346998536,1675522
152,160,0,1.47,8,0.518565153733529,0.958799414348463,1681749
1,161,1,-0.71,2.29,0.362777777777778,0.513263888888889,475881
2,161,2,3.06,5.35,0.8975,0.117430555555555,480955
3,161,3,3.42,8.77,0.96,0.117430555555555,485910
4,161,0,0.92,9.69,0.911388888888889,0.0827083333333334,491578
5,161,3,-2.5,7.19,0.696111111111111,0.200763888888889,497241
6,161,1,-3.94,3.25,0.446111111111111,0.360486111111111,503315
7,161,2,0.78,4.03,0.71,0.179930555555556,509270
8,161,3,3.81,7.84,1,0,514583
9,161,0,-3.37,4.47,0.362777777777778,0.416041666666667,520460
10,161,3,-3.81,0.66,0.2725,0.693819444444444,525758
11,161,2,3.32,3.98,0.515555555555556,0.478541666666667,531016
12,161,1,3.65,7.63,0.675277777777778,0.311875,536390
13,161,0,-3.1,4.53,0.453055555555556,0.485486111111111,541377
14,161,2,-3.37,1.16,0.237777777777778,0.749375,546566
15,161,3,1.13,2.29,0.473888888888889,0.422986111111111,553737
16,161,2,-3.82,-1.53,0.175277777777778,0.832708333333333,559045
17,161,0,-3.19,-4.72,0.0225,0.985486111111111,564452
18,161,3,-0.77,-5.49,0.0294444444444444,0.978541666666667,570181
19,161,1,3.82,-1.67,0.376666666666667,0.791041666666667,575738
20,161,1,-1.23,-2.9,0.3975,0.804930555555555,582959
21,161,0,-3.45,-6.35,0.0225,0.978541666666667,588979
22,161,3,3.9,-2.45,0.578055555555556,0.950763888888889,595462
23,161,0,-0.84,-3.29,0.598888888888889,0.916041666666667,602421
24,161,3,-0.62,-3.91,0.508611111111111,0.943819444444444,607297
25,161,2,0.74,-3.17,0.696111111111111,0.943819444444444,612789
26,161,1,3.77,0.599999999999999,0.883611111111111,0.617430555555556,618952
27,161,0,3.47,4.07,0.814166666666667,0.554930555555555,624462
28,161,0,-3.24,0.829999999999999,0.3975,0.763263888888889,634852
29,161,3,3.21,4.04,0.918333333333333,0.443819444444444,644049
30,161,3,1.07,5.11,0.939166666666667,0.374375,649302
31,161,0,-0.84,4.27,0.862777777777778,0.485486111111111,656846
32,161,3,1.47,5.74,0.855833333333333,0.304930555555555,662115
33,161,3,4.26,10,0.966944444444444,0,667805
34,161,3,-3.35,6.65,0.953055555555556,0.325763888888889,673666
35,161,0,-0.43,6.22,0.973888888888889,0.346597222222222,679970
36,161,3,1.25,7.47,0.980833333333333,0.186875,685754
37,161,3,1.51,8.98,0.994722222222222,0.200763888888889,690875
38,161,3,3.76,12.74,1,0,695920
39,161,3,0.55,13.29,1,0,701387
40,161,3,3.35,16.64,1,0.00631944444444432,706290
41,161,1,-1.05,15.59,0.918333333333333,0.714652777777778,712158
42,161,3,0.92,16.51,1,0,717247
43,161,3,-3.09,13.42,0.515555555555556,0.353541666666667,723957
44,161,3,-3.97,9.45,0.557222222222222,0.547986111111111,730695
45,161,3,1.05,10.5,0.6475,0.263263888888889,736454
46,161,3,3.02,13.52,0.633611111111111,0.200763888888889,743609
47,161,3,-3.83,9.69,0.425277777777778,0.679930555555555,752022
48,161,3,-1.19,8.5,0.411388888888889,0.513263888888889,764196
49,161,2,1.47,9.97,0.723888888888889,0.291041666666667,771295
50,161,2,0.94,10.91,0.751666666666667,0.277152777777778,776595
51,161,2,-3.89,7.02,0.189166666666667,0.797986111111111,782403
52,161,1,3.53,10.55,0.841944444444444,0.110486111111111,789375
53,161,0,3.62,14.17,0.904444444444444,0.0896527777777778,797568
54,161,1,3.78,17.95,1,0,803100
55,161,2,-3.4,14.55,0.307222222222222,0.728541666666667,808311
56,161,2,-3.69,10.86,0.21,0.791041666666667,813221
57,161,1,-0.82,10.04,0.244722222222222,0.318819444444444,821025
58,161,0,0.69,10.73,0.411388888888889,0.228541666666667,826591
