"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Participant","SSE","AIC","BIC","sigma2_est"
0.12384290744905,0.249390023551992,0.0344238750809223,0.0018486664842009,-0.034060516173924,-0.0103955250051441,0.55915138819677,0.52574933863048,"82",9.96588763998028,-392.15629929857,-358.893613569261,0.0706800541842573
0.33053912150756,0.101424951810006,0.000582563599979732,0.0422580506585631,-0.0381158985057287,-0.00237543174151097,-0.283108441972508,0.860971389190738,"83",6.61246646688329,-454.508416816514,-421.245731087205,0.0468969252970446
0.139415995699121,0.411773995927703,0.0484395399559008,0.0101485160168482,-0.0441809315172254,-0.0127372309893757,0.509706595136286,0.465053209204154,"84",6.37566231555825,-460.051666469373,-426.788980740064,0.0452174632309096
0.409172319741804,0.508746942986093,0.10137003536395,0.00592504433087076,-0.099504944028337,-0.00581082106399889,0.145330437471107,0.0998560709005918,"85",11.5304873214015,-369.990660135228,-336.727974405919,0.0817765058255428
0.149412767589375,0.461598133425684,0.0453141362775649,0.00401244303043059,-0.0587895955966545,-0.0155643561955781,0.589409888564755,0.333242465971746,"86",5.6184903589229,-479.268261889979,-446.00557616067,0.0398474493540631
0.15732226719061,0.69173156004075,0.0248691039365236,0.0111359849649779,-0.0225510416794327,-0.0117997189386466,0.0736550471041049,0.171386362786892,"87",4.31809738229724,-519.281976728011,-486.019290998702,0.0306248041297676
0.373607946036772,0.475288330655702,0.103691207849521,0.00697273860259224,-0.0869494672682997,-0.00950693841944537,0.135626383631832,0.235030771630636,"88",3.83980454846645,-537.125776265592,-503.863090536283,0.0272326563721024
0.570984163453861,0.0131626091712382,0.00809359159715058,0.00349009542963914,-0.00790884910415858,0.000536269111272527,-0.0165795208445636,0.960303748043049,"89",9.86772595607147,-393.660886217235,-360.398200487926,0.0699838720288757
0.395343197189991,0.560736191572885,0.102198120399943,0.00575671209419007,-0.0948141017581852,-0.0114447921798352,0.113256195122752,0.1332245213974,"90",7.87599258103382,-427.929317910258,-394.666632180949,0.0558581034115874
0.0888436205187031,0.169274882445502,-6.85045654011177e-05,0.000449861349843759,0.00253439146562286,-0.0086788269468562,-0.883346806273115,-0.526266926775621,"91",0.170776631008085,-1010.27446099184,-977.011775262529,0.00121118178019919
0.140703747055379,0.224614523935013,0.0640949751665383,0.0114095672281884,-0.0744373996565906,-0.00722356292837714,0.276854770605773,0.645174823806339,"92",17.3992173510969,-307.453204909834,-274.190519180525,0.123398704617708
0.41098651773501,0.209511197607469,-0.00762958437383946,0.025031258549102,-0.0210674491139263,-0.00477250828583783,-0.698565026869058,0.586508548532775,"93",11.587402911117,-369.242219249929,-335.97953352062,0.0821801624901918
0.398801266261242,0.252964211454897,0.0813990042658396,0.00120968169349995,-0.0522499110914178,-0.00195785375762624,0.0741896904413908,0.461096043289712,"94",17.3456862729251,-307.921574625766,-274.658888896457,0.123019051581029
0.218121001269157,0.281740636502737,0.0492890583248208,0.00887256525548096,-0.0352897866041904,-0.00981903274303081,0.563326924003908,0.569602311786611,"95",4.55611964358373,-511.126200671255,-477.863514941945,0.0323129052736435
0.306966104386719,0.664408306822165,0.0746394473609999,0.0105441665426106,-0.0572004144612831,-0.0123188857270494,0.0118479354582214,0.0187476671326656,"96",18.2464066782881,-300.226677890747,-266.963992161438,0.129407139562327
0.25559416092105,0.419576671672053,0.0911536691035583,0.0115534598372283,-0.0833504747919665,-0.00302651276252831,0.102175986471202,0.119084062002018,"97",23.7348862338776,-260.25405342921,-226.991367699901,0.168332526481401
0.0412354545855098,0.975944643935725,0.048896513355729,0.0024396992739603,0.0196202537501027,-0.063316371412766,0.894896175145999,-0.431727802475034,"98",14.9106770696885,-330.914053364133,-297.651367634824,0.105749482763748
0.315613221084409,0.204484680831501,0.0942062482618277,0.00448422883223388,-0.0612953739833198,-0.00129617786503934,0.23209796666009,0.437104123311182,"99",6.45452986696723,-458.18294640064,-424.920260671331,0.0457768075671435
0.143843825852769,0.415789449203061,0.0516332861262677,0.0127692731124287,-0.0534391365309792,-0.0131311694920391,0.515165656686362,0.386441314460816,"100",13.8047937575769,-342.627421520424,-309.364735791115,0.0979063387062192
